"ItemType","Name","RelativePath","FullPath","ParentFolder","Extension","SizeBytes","SizeKB","CreatedDate","ModifiedDate","Attributes"
"File",".gitignore",".gitignore","D:\Applications\Fusion_Release_4\Fusion_TSS\FLow_Birkdale_QAS\.gitignore","D:\Applications\Fusion_Release_4\Fusion_TSS\FLow_Birkdale_QAS",".gitignore","7933","7.75","4/6/2026 4:54:09 PM","4/6/2026 4:51:51 PM","Archive"
"Folder",".vs",".vs","D:\Applications\Fusion_Release_4\Fusion_TSS\FLow_Birkdale_QAS\.vs",,"",,,"4/6/2026 4:47:48 PM","4/6/2026 4:47:48 PM","Hidden, Directory"
"Folder","FLow_Birkdale_QAS.slnx",".vs\FLow_Birkdale_QAS.slnx","D:\Applications\Fusion_Release_4\Fusion_TSS\FLow_Birkdale_QAS\.vs\FLow_Birkdale_QAS.slnx",,"",,,"4/6/2026 4:47:48 PM","4/6/2026 4:47:48 PM","Directory"
"Folder","FileContentIndex",".vs\FLow_Birkdale_QAS.slnx\FileContentIndex","D:\Applications\Fusion_Release_4\Fusion_TSS\FLow_Birkdale_QAS\.vs\FLow_Birkdale_QAS.slnx\FileContentIndex",,"",,,"4/6/2026 4:47:53 PM","4/6/2026 4:55:45 PM","Directory"
"File","6d90e67e-7bb2-4e84-855c-b49481b4cc80.vsidx",".vs\FLow_Birkdale_QAS.slnx\FileContentIndex\6d90e67e-7bb2-4e84-855c-b49481b4cc80.vsidx","D:\Applications\Fusion_Release_4\Fusion_TSS\FLow_Birkdale_QAS\.vs\FLow_Birkdale_QAS.slnx\FileContentIndex\6d90e67e-7bb2-4e84-855c-b49481b4cc80.vsidx","D:\Applications\Fusion_Release_4\Fusion_TSS\FLow_Birkdale_QAS\.vs\FLow_Birkdale_QAS.slnx\FileContentIndex",".vsidx","42449","41.45","4/6/2026 4:54:13 PM","4/6/2026 4:54:13 PM","Archive"
"File","78196db7-1021-4b50-be6d-1fe500c52de9.vsidx",".vs\FLow_Birkdale_QAS.slnx\FileContentIndex\78196db7-1021-4b50-be6d-1fe500c52de9.vsidx","D:\Applications\Fusion_Release_4\Fusion_TSS\FLow_Birkdale_QAS\.vs\FLow_Birkdale_QAS.slnx\FileContentIndex\78196db7-1021-4b50-be6d-1fe500c52de9.vsidx","D:\Applications\Fusion_Release_4\Fusion_TSS\FLow_Birkdale_QAS\.vs\FLow_Birkdale_QAS.slnx\FileContentIndex",".vsidx","197","0.19","4/6/2026 4:47:54 PM","4/6/2026 4:47:54 PM","Archive"
"Folder","v18",".vs\FLow_Birkdale_QAS.slnx\v18","D:\Applications\Fusion_Release_4\Fusion_TSS\FLow_Birkdale_QAS\.vs\FLow_Birkdale_QAS.slnx\v18",,"",,,"4/6/2026 4:47:48 PM","4/6/2026 4:47:48 PM","Directory"
"File","Check_Config.ps1","Check_Config.ps1","D:\Applications\Fusion_Release_4\Fusion_TSS\FLow_Birkdale_QAS\Check_Config.ps1","D:\Applications\Fusion_Release_4\Fusion_TSS\FLow_Birkdale_QAS",".ps1","10125","9.89","4/6/2026 4:54:09 PM","4/6/2026 4:40:06 PM","Archive"
"File","FLow_Birkdale_QAS.py","FLow_Birkdale_QAS.py","D:\Applications\Fusion_Release_4\Fusion_TSS\FLow_Birkdale_QAS\FLow_Birkdale_QAS.py","D:\Applications\Fusion_Release_4\Fusion_TSS\FLow_Birkdale_QAS",".py","2","0","4/5/2026 11:29:11 AM","4/5/2026 11:29:11 AM","Archive"
"File","FLow_Birkdale_QAS.pyproj","FLow_Birkdale_QAS.pyproj","D:\Applications\Fusion_Release_4\Fusion_TSS\FLow_Birkdale_QAS\FLow_Birkdale_QAS.pyproj","D:\Applications\Fusion_Release_4\Fusion_TSS\FLow_Birkdale_QAS",".pyproj","1564","1.53","4/5/2026 11:29:11 AM","4/5/2026 11:29:11 AM","Archive"
"File","FLow_Birkdale_QAS.slnx","FLow_Birkdale_QAS.slnx","D:\Applications\Fusion_Release_4\Fusion_TSS\FLow_Birkdale_QAS\FLow_Birkdale_QAS.slnx","D:\Applications\Fusion_Release_4\Fusion_TSS\FLow_Birkdale_QAS",".slnx","201","0.2","4/5/2026 11:29:13 AM","4/6/2026 4:27:07 PM","Archive"
"Folder","Jobs","Jobs","D:\Applications\Fusion_Release_4\Fusion_TSS\FLow_Birkdale_QAS\Jobs",,"",,,"4/6/2026 4:44:13 PM","4/6/2026 4:53:35 PM","Directory"
"File","LICENSE","LICENSE","D:\Applications\Fusion_Release_4\Fusion_TSS\FLow_Birkdale_QAS\LICENSE","D:\Applications\Fusion_Release_4\Fusion_TSS\FLow_Birkdale_QAS","","11558","11.29","4/6/2026 4:54:09 PM","4/6/2026 4:18:44 PM","Archive"
"File","README.md","README.md","D:\Applications\Fusion_Release_4\Fusion_TSS\FLow_Birkdale_QAS\README.md","D:\Applications\Fusion_Release_4\Fusion_TSS\FLow_Birkdale_QAS",".md","18","0.02","4/6/2026 4:54:09 PM","4/6/2026 4:18:44 PM","Archive"
"Folder","Render","Render","D:\Applications\Fusion_Release_4\Fusion_TSS\FLow_Birkdale_QAS\Render",,"",,,"4/6/2026 4:44:13 PM","4/6/2026 3:30:48 PM","Directory"
"Folder","Utilities","Utilities","D:\Applications\Fusion_Release_4\Fusion_TSS\FLow_Birkdale_QAS\Utilities",,"",,,"4/6/2026 4:44:13 PM","4/6/2026 4:55:28 PM","Directory"
